week,twitterViewCountSum,twitterReplyCountSum,twitterRetweetCountSum,twitterLikeCountSum,twitterQuoteCountSum,twitterViewCountMean,twitterReplyCountMean,twitterRetweetCountMean,twitterLikeCountMean,twitterQuoteCountMean
2022-10-17/2022-10-23,430934.0,817,3869,30811,1134,86186.8,163.4,773.8,6162.2,226.8
2022-10-24/2022-10-30,1131322.0,4915,26100,208574,7159,39011.10344827586,169.48275862068965,900.0,7192.206896551724,246.86206896551724
2022-10-31/2022-11-06,1100327.0,5981,28943,218255,8873,31437.914285714287,170.88571428571427,826.9428571428572,6235.857142857143,253.5142857142857
2022-11-07/2022-11-13,3162141.0,4100,27258,189994,6787,68742.19565217392,89.1304347826087,592.5652173913044,4130.304347826087,147.54347826086956
2022-11-14/2022-11-20,1344254.0,5358,32166,164616,11311,43363.032258064515,172.83870967741936,1037.6129032258063,5310.193548387097,364.8709677419355
2022-11-21/2022-11-27,1042290.0,4090,14283,95487,5753,54857.36842105263,215.26315789473685,751.7368421052631,5025.631578947368,302.7894736842105
2022-11-28/2022-12-04,615188.0,19370,132153,851591,30587,19224.625,605.3125,4129.78125,26612.21875,955.84375
2022-12-05/2022-12-11,944849.0,9254,76269,449836,16637,20540.195652173912,201.17391304347825,1658.0217391304348,9779.04347826087,361.67391304347825
2022-12-12/2022-12-18,8935567.0,6926,32736,191238,11355,270774.75757575757,209.87878787878788,992.0,5795.090909090909,344.09090909090907
2022-12-19/2022-12-25,10832281.0,2044,7433,63417,1353,492376.4090909091,92.9090909090909,337.8636363636364,2882.590909090909,61.5
2022-12-26/2023-01-01,13482193.0,1814,10691,81848,1928,1123516.0833333333,151.16666666666666,890.9166666666666,6820.666666666667,160.66666666666666
2023-01-02/2023-01-08,4636034.0,1012,3908,31285,646,579504.25,126.5,488.5,3910.625,80.75
2023-01-09/2023-01-15,22445221.0,5774,23520,186981,6209,831304.4814814815,213.85185185185185,871.1111111111111,6925.222222222223,229.96296296296296
2023-01-16/2023-01-22,15609554.0,2831,12857,108757,2500,650398.0833333334,117.95833333333333,535.7083333333334,4531.541666666667,104.16666666666667
2023-01-23/2023-01-29,21144328.0,5364,15280,102329,6554,682075.0967741936,173.03225806451613,492.9032258064516,3300.935483870968,211.41935483870967
2023-01-30/2023-02-05,27923433.0,5053,25094,176079,5440,872607.28125,157.90625,784.1875,5502.46875,170.0
2023-02-06/2023-02-12,113330932.0,23858,196443,1126956,68224,1953981.5862068965,411.3448275862069,3386.948275862069,19430.275862068964,1176.2758620689656
2023-02-13/2023-02-19,22227104.0,3725,21479,172586,3611,854888.6153846154,143.26923076923077,826.1153846153846,6637.923076923077,138.8846153846154
2023-02-20/2023-02-26,30866962.0,5707,39412,241423,10474,935362.4848484849,172.93939393939394,1194.3030303030303,7315.848484848485,317.3939393939394
2023-02-27/2023-03-05,30407239.0,7229,33269,226855,9618,723981.880952381,172.11904761904762,792.1190476190476,5401.309523809524,229.0
2023-03-06/2023-03-12,27413838.0,5546,37857,292184,5713,783252.5142857142,158.45714285714286,1081.6285714285714,8348.114285714286,163.22857142857143
2023-03-13/2023-03-19,12796392.0,2442,9359,71778,2412,533183.0,101.75,389.9583333333333,2990.75,100.5
2023-03-20/2023-03-26,25808247.0,6307,28725,160521,9767,782068.0909090909,191.12121212121212,870.4545454545455,4864.272727272727,295.969696969697
2023-03-27/2023-04-02,25047723.0,4698,32220,198205,13006,1138532.8636363635,213.54545454545453,1464.5454545454545,9009.318181818182,591.1818181818181
2023-04-03/2023-04-09,22975407.0,5016,26031,172325,10064,919016.28,200.64,1041.24,6893.0,402.56
2023-04-10/2023-04-16,45575806.0,8103,63829,351947,26844,1340464.8823529412,238.3235294117647,1877.3235294117646,10351.382352941177,789.5294117647059
2023-04-17/2023-04-23,45339251.0,6576,37270,217954,15674,871908.6730769231,126.46153846153847,716.7307692307693,4191.423076923077,301.4230769230769
2023-04-24/2023-04-30,19185230.0,3084,20829,134777,4042,564271.4705882353,90.70588235294117,612.6176470588235,3964.029411764706,118.88235294117646
